time,W
0,0.0
1,0.0011098765432098951
2,0.0022172839506173075
3,0.003322222222222226
4,0.004424691358024695
5,0.00552469135802455
6,0.006622222222222136
7,0.0077172839506172266
8,0.008809876543209942
9,0.009900000000000018
10,0.010987654320987451
11,0.01207283950617288
12,0.013155555555555237
13,0.014235802469135804
14,0.015313580246913965
15,0.016388888888888835
16,0.017461728395062052
17,0.01853209876543214
18,0.01960000000000023
19,0.020665432098765587
20,0.02172839506172857
21,0.022788888888888918
22,0.023846913580246827
23,0.02490246913580284
24,0.02595555555555527
25,0.02700617283950633
26,0.028054320987654133
27,0.02909999999999973
28,0.030143209876542627
29,0.031183950617283303
30,0.03222222222222287
31,0.033258024691357344
32,0.03429135802469175
33,0.0353222222222225
34,0.03635061728395072
35,0.03737654320987649
36,0.038400000000000094
37,0.03942098765432146
38,0.040439506172838646
39,0.04145555555555581
40,0.042469135802469735
41,0.04348024691358114
42,0.044488888888888016
43,0.04549506172839545
44,0.04649876543209832
45,0.04749999999999955
46,0.04849876543209974
47,0.04949506172839393
48,0.05048888888888791
49,0.05148024691357943
50,0.05246913580246839
51,0.05345555555555646
52,0.054439506172840386
53,0.05542098765432207
54,0.056399999999998465
55,0.05737654320987672
56,0.058350617283949656
57,0.05932222222222133
58,0.06029135802469189
59,0.061258024691356966
60,0.06222222222222336
61,0.06318395061728498
62,0.0641432098765421
63,0.0651000000000007
64,0.06605432098765396
65,0.06700617283950591
66,0.06795555555555632
67,0.06890246913580185
68,0.06984691358024821
69,0.07078888888888948
70,0.0717306172839493
71,0.07266765432098758
72,0.07360222222222151
73,0.0745343209876535
74,0.07546395061728334
75,0.07639111111110942
76,0.07731580246913547
77,0.07823802469135878
78,0.07915777777777977
79,0.08007506172839475
80,0.08098987654321015
81,0.08190222222222232
82,0.0828120987654313
83,0.08371950617284069
84,0.08462444444444459
85,0.08552691358024857
86,0.08642691358024611
87,0.08732444444444482
88,0.08821950617283891
89,0.08911209876543114
90,0.09000222222222437
91,0.0908898765432115
92,0.09177506172839563
93,0.09265777777777583
94,0.0935380246913571
95,0.0944158024691345
96,0.09529111111111033
97,0.09616395061728272
98,0.09703654320987871
99,0.09790444444444367
100,0.0987698765432078
101,0.09963283950617272
102,0.10049333333333418
103,0.10135358024691159
104,0.10220913580247049
105,0.103062222222223
106,0.10391283950617142
107,0.10476098765431976
108,0.10560666666666559
109,0.10644987654321095
110,0.10729061728395255
111,0.10812888888888783
112,0.1089646913580269
113,0.1098002469135819
114,0.1106311111111106
115,0.11145950617283876
116,0.11228543209876306
117,0.11310888888889079
118,0.11393209876543288
119,0.11475061728395007
120,0.11556666666666754
121,0.11638024691358227
122,0.11719135802468907
123,0.11799999999999942
124,0.1188061728395038
125,0.11960987654321177
126,0.12041111111111188
127,0.12120987654320915
128,0.12200617283950863
129,0.12280222222222387
130,0.1235935802469124
131,0.12438246913580124
132,0.1251688888888874
133,0.1259528395061743
134,0.1267365432098782
135,0.12751555555555402
136,0.12829654320987774
137,0.12907283950617351
138,0.12984444444444224
139,0.13061358024691141
140,0.13138024691357775
141,0.13214444444444406
142,0.13290617283950576
143,0.13366543209876353
144,0.1344222222222217
145,0.13517654320987535
146,0.13592839506173013
147,0.13667777777777573
148,0.1374246913580259
149,0.13817135802469024
150,0.13891333333333103
151,0.13965283950617463
152,0.14038987654320947
153,0.14112444444444197
154,0.14185654320987784
155,0.14258617283950775
156,0.14331555555555628
157,0.14404246913580418
158,0.1447691358024727
159,0.14549111111111085
160,0.14620839506172917
161,0.1469298765432097
162,0.1476422222222219
163,0.14835432098765358
164,0.14906395061728397
165,0.14977111111111005
166,0.15047580246913483
167,0.1511780246913586
168,0.1518777777777776
169,0.1525750617283961
170,0.1532676543209879
171,0.15396444444444055
172,0.15465209876543115
173,0.15533728395061713
174,0.1560199999999974
175,0.1567024691358041
176,0.157380246913579
177,0.15806000000000286
178,0.15873506172839386
179,0.1594054320987628
180,0.16007333333333074
181,0.16074320987654445
182,0.16140617283950767
183,0.16206888888888737
184,0.16272913580247175
185,0.1633869135802454
186,0.16404666666666914
187,0.16469728395062086
188,0.16534543209876743
189,0.16599111111110748
190,0.166638765432098
191,0.16728172839505978
192,0.16792222222222178
193,0.16855802469135708
194,0.16919358024691478
195,0.16982666666666468
196,0.17046172839506116
197,0.17109209876543405
198,0.17171777777777972
199,0.1723454320987693
200,0.17297728395061507
201,0.1735977777777772
202,0.17421580246913915
203,0.17483358024691092
204,0.17544444444444598
205,0.1760550617283967
206,0.17666320987654074
207,0.17726444444444248
208,0.1778654320987647
209,0.17846617283950364
210,0.17906444444444286
211,0.17966024691358262
212,0.18025358024690968
213,0.180842222222221
214,0.1814372839506155
215,0.18202320987654566
216,0.18260444444444557
217,0.18318320987654613
218,0.18376839506172726
219,0.184344444444444
220,0.18492469135802192
221,0.18550469135802886
222,0.18607111111111033
223,0.18663728395061713
224,0.18720987654321197
225,0.18777333333333338
226,0.188336543209876
227,0.1888972839506169
228,0.18945111111110882
229,0.19000469135802073
230,0.19055135802469086
231,0.19110444444444005
232,0.19165061728395288
233,0.1921943209876498
234,0.1927377777777771
235,0.19327432098765027
236,0.19380617283950358
237,0.19434222222222577
238,0.19487802469135698
239,0.19541358024691377
240,0.19594666666666832
241,0.19647728395061723
242,0.19700098765431936
243,0.19752222222222607
244,0.1980409876543174
245,0.19855728395061592
246,0.19906444444444224
247,0.1995713580246939
248,0.20007580246913623
249,0.20057777777777985
250,0.2010906172839483
251,0.20158765432098494
252,0.20209111111111444
253,0.20258765432099018
254,0.20307950617283607
255,0.20357777777777591
256,0.20408246913580158
257,0.20457802469135564
258,0.20505777777777304
259,0.2055395061728402
260,0.20601654320987822
261,0.20650000000000313
